method,keep_ratio,accuracy,f1_macro,tar_at_far,ms_per_img,ms_per_img_std,gflops,r
Baseline (No Pruning),1.0,0.9841943509439485,0.9871621963151875,0.10617100371747212,23.21279833984375,0.043200747416573926,60.318103552,
Random,0.1,0.869603395287575,0.8401448071224583,0.04846852911477617,29.853537109374997,0.02659428368468828,13.021256704,
Random,0.2,0.9454119713156739,0.9358155335784663,0.12027863777089784,28.761087402343747,0.009653358668558031,18.365533184,
Random,0.3,0.9664861700570759,0.9628449435322438,0.04633555420956996,29.6401572265625,0.014288130340288535,23.44259584,
Random,0.4,0.9792184984633396,0.9805633328653366,0.01135854132416679,29.084369628906252,0.02389174129056147,28.78687232,
Random,0.5,0.9821454705107566,0.984625657842703,0.007450454477723141,29.75615283203125,0.04694639042495946,34.1311488,
Random,0.6,0.9830235621249817,0.9859451967895045,0.020842638082477296,29.125740234374994,0.017984407413297883,39.208211456,
Random,0.7,0.9836089565344651,0.9864515480009037,0.023359619104299956,28.868770019531247,0.010998335170473626,44.552487936,
Random,0.8,0.9840480023415776,0.9870505445017528,0.03361094586555621,30.2339990234375,0.037143245394349336,49.629550592,
CLS Attention,0.1,0.8316991072735256,0.7922966042104691,0.00334330459264473,30.364107421874998,0.011477360728155904,13.100737536,
CLS Attention,0.2,0.9301917166691058,0.9158642509579891,0.012114537444933921,29.7697587890625,0.015277041380311008,18.445014016,
CLS Attention,0.3,0.9599004829503879,0.9558023238733755,0.012196981247141333,28.961887207031246,0.015683062590729754,23.522076672,
CLS Attention,0.4,0.9767305722230353,0.977762446631826,0.08540605334132455,29.237019531250002,0.028884021043450236,28.866353152,
CLS Attention,0.5,0.981852773306015,0.9843456588932853,0.06215531375763899,29.899625000000004,0.012640220814810218,34.210629632,
CLS Attention,0.6,0.983755305136836,0.9866626150867354,0.030943171675096696,30.5161787109375,0.00872588764473797,39.287692288,
CLS Attention,0.7,0.9840480023415776,0.9870505445017528,0.047441998810232006,29.80826416015625,0.04865015211953873,44.631968768,
CLS Attention,0.8,0.9841943509439485,0.9871621963151875,0.06007434944237918,29.19346923828125,0.019292830255678663,49.709031424,
Forecaster,0.1,0.8027220840040977,0.7460166165305415,0.004193254329990884,31.314956054687503,0.010777706503769567,13.242376192,
Forecaster,0.2,0.9205327089126298,0.8981179620207336,0.010969793322734499,31.5350830078125,0.039699775149143704,18.586652672,
Forecaster,0.3,0.9645836382262549,0.960903331013035,0.020330754058564708,32.8472021484375,0.007977621936589099,23.663715328,
Forecaster,0.4,0.9800965900775648,0.9821263371350502,0.05121696281917276,32.930576171874996,0.014758849350396315,29.007991808,
Forecaster,0.5,0.9834626079320943,0.9863684311254572,0.03244047619047619,31.567477539062498,0.02113376915083198,34.352268288,
Forecaster,0.6,0.9839016537392068,0.9869453691133934,0.05756358768406961,31.624299804687503,0.009658740441599152,39.429330944,
Forecaster,0.7,0.9841943509439485,0.9871621963151875,0.039107806691449816,32.2590478515625,0.016706454096045438,44.773607424,
Forecaster,0.8,0.9843406995463193,0.9873253349159826,0.05961938745168005,31.46032373046875,0.03164663468167261,49.85067008,
Forecaster + FT,0.1,0.9680960046831553,0.9696420819170669,0.3145880574452003,31.715369140625,0.02300622218388642,13.242376192,
Forecaster + FT,0.2,0.9796575442704523,0.9827535296715126,0.6570062742754705,32.4626337890625,0.018096172980904754,18.586652672,
Forecaster + FT,0.3,0.9828772135226108,0.9861499626505746,0.954883859440143,33.031940429687495,0.02747642605129127,23.663715328,
Forecaster + FT,0.4,0.9828772135226108,0.9861366451399145,0.867182846932698,32.534587890625,0.03942665059075972,29.007991808,
Forecaster + FT,0.5,0.9840480023415776,0.9871300303063856,0.814098750743605,31.751930664062495,0.06455865854096231,34.352268288,
Forecaster + FT,0.6,0.98273086492024,0.9860445437943696,0.7350707371556218,31.631211914062497,0.008071203191891453,39.429330944,
Forecaster + FT,0.7,0.9834626079320943,0.9866819931410491,0.7019345238095238,33.0562509765625,0.015949166355051808,44.773607424,
Forecaster + FT,0.8,0.9836089565344651,0.9866930796704292,0.6982591876208898,33.066857421875,0.021693919658079583,49.85067008,
CropR,,0.9809746816917898,0.9844794956131176,0.5363270177532448,19.39896044921875,0.018257619136101244,31.601799168,
ToMe,1.0,0.9841943509439485,0.9871621963151875,0.10617100371747212,28.930646484375,0.10646061319844988,60.318103552,0.0
ToMe,0.5102040816326531,0.9839016537392068,0.9869453691133934,0.1060538450096683,46.657953125,0.08072206178045224,46.62385408,4.0
ToMe,0.02040816326530612,0.9707302795258306,0.9725905075550493,0.1653851952359415,46.8750322265625,0.06402374573610714,31.309715456,8.0
ToMe,0.00510204081632653,0.4522171813259183,0.29398423642562055,0.005177993527508091,43.798074218749996,0.043863223090181806,16.026745152,16.0
ToMe,0.00510204081632653,0.3500658568710669,0.1838828525946858,0.0004180602006688963,40.619149414062505,0.03436405370342034,10.968292352,24.0
ToMe,0.00510204081632653,0.21279086784721207,0.11869220118588206,0.0020632737276478678,41.232251953125,0.05164825931507601,8.509570432,32.0
