method,keep_ratio,keep_pct,f1_macro,tar_at_far
Random,0.1,10,0.8392672799912371,0.0861807776468608
Random,0.2,20,0.9349074056559086,0.04025390927388141
Random,0.3,30,0.9664520023063314,0.032467532467532464
Random,0.4,40,0.9809677234168329,0.0198744769874477
Random,0.5,50,0.9853009208055074,0.03752792256142964
Random,0.6,60,0.9855487748913704,0.00908278737343657
Random,0.7,70,0.9870553884897055,0.03241635687732342
Random,0.8,80,0.986975844558764,0.13593099345627602
CLS Attention,0.1,10,0.7940883880709466,0.010187950114175302
CLS Attention,0.2,20,0.9152447348835788,0.007712891547300488
CLS Attention,0.3,30,0.9534601982180995,0.014050091631032376
CLS Attention,0.4,40,0.9779001401534155,0.0749063670411985
CLS Attention,0.5,50,0.9843449519544314,0.061270125223613595
CLS Attention,0.6,60,0.9866626150867354,0.0334721808985421
CLS Attention,0.7,70,0.9870505445017528,0.044913741820345035
CLS Attention,0.8,80,0.9871621963151875,0.05546468401486989
Forecaster (no FT),0.1,10,0.7409202184782097,0.005675576711827169
Forecaster (no FT),0.2,20,0.8984098195299575,0.011437648927720413
Forecaster (no FT),0.3,30,0.9621472209356051,0.021824795392543193
Forecaster (no FT),0.4,40,0.9822668900855809,0.05540621266427718
Forecaster (no FT),0.5,50,0.9865309642200193,0.030501413480136883
Forecaster (no FT),0.6,60,0.9869453691133934,0.05726610144280827
Forecaster (no FT),0.7,70,0.9871621963151875,0.03895910780669145
Forecaster (no FT),0.8,80,0.9873253349159826,0.05961938745168005
Forecaster + FT,0.1,10,0.9696345094290685,0.31746031746031744
Forecaster + FT,0.2,20,0.9831851479961062,0.623114827534717
Forecaster + FT,0.3,30,0.9861499626505746,0.9566706372840976
Forecaster + FT,0.4,40,0.9861366451399145,0.8653960690887433
Forecaster + FT,0.5,50,0.9871300303063856,0.817965496728138
Forecaster + FT,0.6,60,0.9862475620286619,0.7539079946404645
Forecaster + FT,0.7,70,0.9866819931410491,0.7087797619047619
Forecaster + FT,0.8,80,0.9866930796704292,0.7152209492635024
