method,keep_ratio,keep_pct,accuracy,f1_macro,tar_at_far
Our method (Forecaster),0.1,10,0.6707156446655934,0.618667785545617,0.00196377918394065
Our method (Forecaster),0.2,20,0.8688716522757207,0.8561143593157619,0.060299814721239686
Our method (Forecaster),0.3,30,0.929020927850139,0.9249174628542742,0.016698172652804034
Our method (Forecaster),0.4,40,0.9563881164934875,0.9565719733627679,0.021576128538638103
Our method (Forecaster),0.5,50,0.9704375823210888,0.9711536082402219,0.058965465239028805
Our method (Forecaster),0.6,60,0.9757061320064393,0.9776444809132445,0.14924253787310635
Our method (Forecaster),0.7,70,0.9777550124396313,0.979997090011193,0.13051938332584942
Our method (Forecaster),0.8,80,0.9812673788965315,0.9837847892788663,0.05413870246085011
Our method (Forecaster),0.9,90,0.9814137274989024,0.9841696704719711,0.15419027736355503
Random,0.1,10,0.6688131128347724,0.6099237055508184,0.018161925601750548
Random,0.2,20,0.8712132299136544,0.8582609383310666,0.003695615655971779
Random,0.3,30,0.9335577345236353,0.9292240273759105,0.005329989026493181
Random,0.4,40,0.9562417678911166,0.9543872884972802,0.016681971227425773
Random,0.5,50,0.9657544270452217,0.966893207616397,0.021215335656917717
Random,0.6,60,0.9754134348016976,0.9773712961485934,0.001800450112528132
Random,0.7,70,0.9781940582467438,0.980762950701244,0.09036505086774387
Random,0.8,80,0.9799502414751939,0.9824790595572203,0.2302867383512545
Random,0.9,90,0.9814137274989024,0.9840824909529753,0.10736653742916791
Layer-2 attention,0.1,10,0.6616420313186009,0.6106133320097009,0.0210130502101305
Layer-2 attention,0.2,20,0.8611151763500658,0.8481094842677566,0.01495581237253569
Layer-2 attention,0.3,30,0.9249231669837553,0.9178014747234796,0.008069620253164557
Layer-2 attention,0.4,40,0.9473145031464949,0.9460645630242331,0.00911478448941758
Layer-2 attention,0.5,50,0.9679496560807844,0.9685442247198788,0.036740247958875115
Layer-2 attention,0.6,60,0.9748280403922143,0.9764689413118185,0.07866686683681129
Layer-2 attention,0.7,70,0.9773159666325186,0.9799305715952933,0.03459119496855346
Layer-2 attention,0.8,80,0.9802429386799356,0.9829313640501136,0.05225440429979098
Layer-2 attention,0.9,90,0.9814137274989024,0.9841942235823097,0.10885773933790635
