method,variant,keep_ratio,speedup,throughput,throughput_std,latency_ms,latency_std,gflops,accuracy,f1_macro,tar_at_far
Baseline,—,,1.0,265.24846770086936,0.9474542549568847,24.41444986979167,0.11130151028590415,60.318103552,0.9841943509439485,0.9871621963151875,0.10617100371747212
Entropy Pruning,10% token,0.1,3.528138909520172,935.8334395860418,0.8236159682097115,27.011497721354164,0.014128668722191736,13.320848384,0.9680960046831553,0.9696420819170669,0.3145880574452003
Entropy Pruning,20% token,0.2,2.7356443796075625,725.6254798654013,0.9890513405562228,26.046927083333333,0.10011781891168851,18.665124864,0.9796575442704523,0.9827535296715126,0.6570062742754705
Entropy Pruning,30% token,0.3,2.170142616292026,575.6270036638156,0.5289221541608788,26.056833333333334,0.13272751307002578,23.74218752,0.9828772135226108,0.9861499626505746,0.954883859440143
Entropy Pruning,50% token,0.5,1.6084883079617391,426.64905900161534,0.7577446234725951,26.219606119791667,0.07641104325209545,34.43074048,0.9840480023415776,0.9871300303063856,0.814098750743605
CropR,—,,2.3759719251247695,630.2229124396298,1.533740676679323,15.318822591145835,0.03046376139521948,31.601799168,0.9809746816917898,0.9844794956131176,0.5363270177532448
ToMe,r=0,1.0,0.9921541539082872,263.1673690472257,0.3992421006780132,23.958775390625,0.2444032239528395,60.318103552,0.9841943509439485,0.9871621963151875,0.10617100371747212
ToMe,r=4,0.5102040816326531,1.0175711067487938,269.90917684179533,0.35671706100960937,39.53948958333333,0.06712189916437485,46.62385408,0.9840480023415776,0.9870570207566252,0.10648423557406306
ToMe,r=8,0.02040816326530612,1.4599885115722973,387.2597155554248,0.37386397288247625,38.681728515625004,0.11844695287874833,31.309715456,0.9708766281282014,0.9723128481209362,0.12646970153753392
ToMe,r=16,0.00510204081632653,2.556853327153917,678.2014271634462,1.050002100708742,34.86967903645833,0.05398656160619002,16.026745152,0.4523635299282892,0.29399234253158846,0.002264639275315432
ToMe,r=24,0.00510204081632653,3.4370638105409164,911.6759091360892,3.3925563412358732,33.96246419270834,0.02759983505715897,10.968292352,0.3505049026781794,0.186172044845136,0.0
EViT,10% tokens,0.10204081632653061,1.9435797121896943,515.5315405128131,0.8954351231530986,28.384949869791665,0.010443029506244544,24.455698432,0.9061905458802868,0.8909589111764891,0.027616279069767442
MCTF,"r=0.20 @ [8,16,22]",0.5120000000000001,0.9688683135766376,256.99083558012853,0.4541303984107093,32.63332682291666,0.050633438767537876,51.158976512,0.9831699107273526,0.9861708028350533,0.18547186662697232
MCTF,"r=0.35 @ [8,16,22]",0.274625,1.09678497978812,290.9205352861278,0.22571282327474193,31.177730468749996,0.04047469431957026,44.149830656,0.9814137274989024,0.9840028329614376,0.12153295556218312
MCTF,"r=0.50 @ [8,16,22]",0.125,1.2903122947534484,342.25335903894467,0.23021402136697752,32.54990820312501,0.09293824484209624,37.863923712,0.9678033074784136,0.9647814035039228,0.20444578859821563
MCTF,"r=0.35 @ [6,12,18]",0.274625,1.2373153485142039,328.1960002561597,0.2746041099474337,32.465472005208326,0.04456029193169871,38.502429696,0.9689740962973804,0.9683887890417302,0.05104969037909681
DynamicViT,12% tokens,0.117649,1.4712432027158062,390.2450051356871,0.45815123564705224,29.474083984375,0.02003845180599671,34.138243072,0.935752963559198,0.9210644285485619,0.09759149202377229
