strategy,keep_ratio,n_tokens,accuracy,f1_macro,tar_at_far
Random,0.1,19,0.9052924791086351,0.8707267016877347,0.009538461538461539
Random,0.2,39,0.9214484679665739,0.888508823658381,0.0036275695284159614
Random,0.3,58,0.9227019498607242,0.8910084535373615,0.005283018867924529
Random,0.5,98,0.9264623955431754,0.8961334401921844,0.0027059530968129887
Random,0.7,137,0.9256267409470752,0.8952227710317222,0.021366235329521515
Random,0.9,176,0.9250696378830083,0.8949695232330342,0.0344775669978922
CLS Attention,0.1,19,0.8675487465181059,0.8290468051468518,0.004334564135495264
CLS Attention,0.2,39,0.9116991643454039,0.8770867241839028,0.001985945615643141
CLS Attention,0.3,58,0.9213091922005571,0.888984472335285,0.0045351473922902496
CLS Attention,0.5,98,0.9268802228412256,0.8962874125453797,0.025244177310293013
CLS Attention,0.7,137,0.9277158774373259,0.8976576430153214,0.03753190211679928
CLS Attention,0.9,176,0.9268802228412256,0.8969991640830747,0.04748309541697972
Token L2-Norm,0.1,19,0.8543175487465181,0.8115517543816098,0.0021193348549070753
Token L2-Norm,0.2,39,0.8966573816155989,0.8578168784810782,0.0006213109661385523
Token L2-Norm,0.3,58,0.910724233983287,0.8751043434210366,0.011163786511699036
Token L2-Norm,0.5,98,0.924791086350975,0.8931478556363223,0.0036144578313253013
Token L2-Norm,0.7,137,0.9264623955431754,0.8958884384917416,0.016686710763680095
Token L2-Norm,0.9,176,0.9253481894150418,0.894910619809779,0.034015653220951236
