architecture,class,n_params,best_val_kl,best_val_rho,test_rho_forecaster,test_rho_token_norm,delta_rho
Attention h=256 L=2,AttentionForecaster,1910529,-0.3419114053249359,0.7850162737769845,0.7249012918843102,0.11808993745714674,0.6068113544271634
Attention h=256 L=3,AttentionForecaster,2701313,-0.3418556749820709,0.7837103805114393,0.72424073836522,0.11808993745714674,0.6061508009080732
Attention h=256 L=1,AttentionForecaster,1119745,-0.34099435806274414,0.7684002613774912,0.6995644233074974,0.11808993745714674,0.5814744858503507
Attention h=128 L=2,AttentionForecaster,562177,-0.3402121961116791,0.7535749264078923,0.6905327277795115,0.11808993745714674,0.5724427903223648
Attention h=128 L=1,AttentionForecaster,363393,-0.33970531821250916,0.7452948344476408,0.6803322907193742,0.11808993745714674,0.5622423532622274
Conv h=256 L=3 k=5,ConvForecaster,1967105,-0.33902403712272644,0.7330160098494689,0.6697679939586088,0.11808993745714674,0.5516780565014621
Conv h=256 L=2 k=5,ConvForecaster,1639169,-0.338920533657074,0.7316005225956059,0.6686069511114303,0.11808993745714674,0.5505170136542836
Conv h=256 L=2 k=9,ConvForecaster,2949889,-0.3391081988811493,0.7335152960020399,0.6684255056059136,0.11808993745714674,0.5503355681487669
MLP h=512 L=3,MLPForecaster,1050625,-0.33691293001174927,0.6931423586131056,0.6270453702108993,0.11808993745714674,0.5089554327537527
MLP h=256 L=3,MLPForecaster,394241,-0.33673128485679626,0.6891796340715123,0.6236071711975287,0.11808993745714674,0.5055172337403819
MLP h=256 L=2,MLPForecaster,328449,-0.3366340696811676,0.6881882029500593,0.6232938223108525,0.11808993745714674,0.5052038848537057
